,skills_clean,education,experience_years,job_role
23,"('sql', 'analytics', 'react', 'dbt', 'cloud platforms', 'documentation', 'pandas', 'creativity', 'mongodb', 'data modeling', 'python')",Bachelor's in Computer Science,3,Analytics Engineer
24,"('informatica', 'performance tuning', 'sql', 'react', 'gcp', 'data integration', 'etl', 'data quality', 'wireframing')",Bachelor's in IT,3,Informatica Developer
25,"('terraform', 'sql', 'python', 'excel', 'mongodb', 'statistical analysis', 'data visualization', 'rest api', 'tableau', 'html', 'project management')",Bachelor's in Statistics,0,Data Analyst
26,"('patient counseling', 'attention to detail', 'microservices', 'firewalls', 'pharmacy knowledge', 'communication', 'mysql', 'drug interactions', 'accuracy')",Doctor of Pharmacy,4,Pharmacist
27,"('api development', 'go', 'pytorch', 'concurrency', 'scrum', 'swift', 'problem solving', 'responsive design', 'web accessibility', 'docker', 'microservices')",Bachelor's in Computer Science,5,Go Developer
28,"('conservation', 'problem solving', 'user experience', 'environmental knowledge', 'safety', 'law enforcement', 'creativity', 'penetration testing', 'node.js', 'communication', 'budget management')",Bachelor's in Environmental Science,3,Conservation Officer
29,"('user experience', 'department management', 'leadership', 'gcp', 'decision making', 'strategic planning', 'budget control', 'graphql', 'database design', 'communication')",Master's in Business,8,Director
30,"('technical knowledge', 'communication', 'problem solving', 'creativity', 'leadership', 'negotiation', 'production management', 'angular')",Bachelor's in Production,2,Producer
31,"('game physics', 'c++', 'sql', 'penetration testing', 'app testing', 'graphics programming', 'unreal engine', 'unity', 'time management', 'html', 'c#')",Bachelor's in Game Development,2,Game Developer
32,"('research', 'analysis', 'technical knowledge', 'tensorflow', 'negotiation', 'field work', 'html', 'geology', 'problem solving')",Bachelor's in Geology,3,Geologist
33,"('patience', 'figma', 'instruction', 'html', 'classroom management', 'market research', 'communication', 'curriculum development', 'student assessment')",Teaching Credential,1,Teacher
34,"('business acumen', 'android', 'attention to detail', 'documentation', 'technical writing', 'content editing', 'communication', 'organization', 'writing', 'management')",Bachelor's in Journalism,1,Editor
35,"('communication', 'customer relations', 'sales', 'product knowledge', 'technical problem solving', 'presentation', 'solution design', 'adaptability', 'c#', 'seo')",Bachelor's in Engineering,3,Solutions Engineer
36,"('sales', 'automation platforms', 'segmentation', 'copywriting', 'a/b testing', 'analytics', 'azure', 'email campaign management')",Bachelor's in Marketing,4,Email Marketing Specialist
37,"('safety', 'postgresql', 'equipment maintenance', 'problem solving', 'communication', 'staff management', 'production planning', 'quality control')",Bachelor's in Operations,3,Production Manager
38,"('sensors', 'iot technology', 'system design', 'p&l management', 'embedded systems', 'ci/cd', 'mysql', 'aws', 'c/c++', 'networking', 'adaptability')",Bachelor's in Computer Engineering,5,IoT Engineer
39,"('operations management', 'business operations', 'leadership', 'seo', 'docker', 'decision making', 'strategic thinking', 'communication')",Master's in Business,9,COO
40,"('database design', 'sql', 'perl', 'agile', 'performance', 'etl tools', 'problem solving', 'data quality', 'data integration')",Bachelor's in IT,3,ETL Developer
41,"('ansible', 'kubernetes', 'graphic design', 'scikit-learn', 'linux', 'scripting', 'docker', 'documentation', 'aws', 'ci/cd', 'query optimization')",IT Certification,5,DevOps Engineer
42,"('ansible', 'communication', 'android', 'active listening', 'empathy', 'treatment planning', 'problem solving', 'counseling', 'c++', 'postgresql', 'c#')",Master's in Counseling,3,Counselor
43,"('responsive design', 'requirements gathering', 'process improvement', 'excel', 'web accessibility', 'documentation', 'prototyping', 'business development', 'javascript', 'sql', 'stakeholder communication')",Bachelor's in Business,1,Business Analyst
44,"('analysis', 'strategic thinking', 'pytorch', 'sales', 'mobile security', 'research', 'communication', 'writing', 'responsive design', 'policy expertise', 'kubernetes')",Master's in Relevant Field,2,Policy Advisor
45,"('problem solving', 'customer service', 'massage therapy', 'empathy', 'penetration testing', 'flutter', 'machine learning', 'communication', 'anatomy')",Massage Therapy School,2,Massage Therapist
46,"('ci/cd', 'problem solving', 'public safety', 'outdoor skills', 'react native', 'conservation', 'communication', 'environmental knowledge', 'css')",Bachelor's in Environmental Science,3,Park Ranger
47,"('user experience', 'problem solving', 'project management', 'microservices', 'communication', 'field work', 'plant science', 'flutter', 'data analysis', 'research')",Bachelor's in Botany,4,Botanist
48,"('figma', 'excel', 'statistical analysis', 'tableau', 'sql', 'confluence', 'data visualization', 'python', 'app testing')",Bachelor's in Statistics,2,Data Analyst
49,"('problem solving', 'client relations', 'adobe creative suite', 'pytorch', 'communication', 'product knowledge', 'jenkins', 'account management', 'technical knowledge')",Bachelor's in Computer Science,4,Technical Account Manager
50,"('shell scripting', 'analysis', 'documentation', 'market knowledge', 'communication', 'problem solving', 'user interface', 'query optimization', 'leadership', 'vue.js', 'strategic thinking')",Master's in Strategy,6,Strategy Consultant
51,"('curation', 'problem solving', 'communication', 'java', 'art knowledge', 'microservices', 'management', 'research')",Museum Studies,3,Museum Curator
52,"('rest api', 'decision making', 'go', 'network security', 'medical knowledge', 'angular', 'numpy', 'empathy', 'treatment', 'diagnosis', 'patient communication')",Medical Degree,5,Physician
53,"('react', 'java interop', 'coroutines', 'kanban', 'android development', 'problem solving', 'mobile development', 'kotlin')",Bachelor's in Computer Science,1,Kotlin Developer
54,"('agile', 'problem solving', 'customer relations', 'inventory', 'sales', 'staff management', 'web design', 'store management', 'leadership')",High School,2,Store Manager
55,"('kitchen management', 'leadership', 'kubernetes', 'serverless', 'culinary skills', 'creativity', 'training', 'penetration testing', 'food safety', 'financial analysis')",Culinary School,5,Sous Chef
56,"('problem solving', 'flutter', 'outdoor skills', 'environmental knowledge', 'conservation', 'css', 'confluence', 'public safety', 'communication', 'mysql')",Bachelor's in Environmental Science,3,Park Ranger
57,"('data analysis', 'writing', 'problem solving', 'research', 'html', 'experimentation', 'scrum', 'scientific knowledge')",Master's in Science,1,Research Scientist
58,"('kanban', 'p&l management', 'athletic knowledge', 'coaching', 'risk assessment', 'leadership', 'training program design', 'communication', 'motivation')",Bachelor's in Physical Education,0,Coach
59,"('jenkins', 'javascript', 'c#', 'cms', 'numpy', 'web design', 'php', 'mysql', 'joomla', 'theme development')",Bachelor's in Computer Science,0,Joomla Developer
60,"('r', 'jira', 'crm', 'product knowledge', 'client relationships', 'communication', 'flutter', 'p&l management', 'negotiation', 'selling')",Bachelor's in Marketing,2,Sales Executive
61,"('point of sale', 'time management', 'accuracy', 'css', 'cash handling', 'user experience', 'customer service', 'friendliness', 'flutter', 'communication', 'problem solving')",High School,0,Cashier
62,"('database optimization', 'security', 'marketing', 'sql', 'mongodb', 'backup recovery', 'linux', 'financial analysis')",Bachelor's in IT,1,Database Administrator
63,"('lightning', 'mobile security', 'mysql', 'salesforce', 'apex', 'data analysis', 'mobile ui/ux', 'visualforce', 'problem solving', 'crm')",Salesforce Certification,4,Salesforce Developer
64,"('routing', 'networking', 'adobe creative suite', 'tcp/ip', 'configuration', 'cisco', 'security', 'flutter')",Networking Certification,5,Network Engineer
65,"('professionalism', 'pytorch', 'communication', 'public speaking', 'voice skills', 'quick thinking', 'pronunciation', 'responsive design', 'swift', 'problem solving', 'scala')",Broadcasting,2,Announcer
66,"('drupal', 'mysql', 'theme development', 'communication', 'module development', 'azure', 'javascript', 'gcp', 'php', 'adobe creative suite')",Bachelor's in Computer Science,1,Drupal Developer
67,"('communication', 'vision', 'cloudformation', 'c++', 'non-profit leadership', 'fundraising', 'budget management', 'documentation', 'strategic planning')",Master's in Non-profit Management,8,Non-profit Director
68,"('marketing', 'ci/cd', 'compliance', 'security', 'typescript', 'microservices', 'linux', 'container security', 'devops')",Bachelor's in Computer Science,2,DevSecOps Engineer
69,"('graphql', 'patient communication', 'web design', 'clinical skills', 'dental procedures', 'flask', 'firewalls', 'compassion', 'diagnosis', 'attention to detail')",Dental License,1,Dentist
70,"('problem solving', 'financial analysis', 'teamwork', 'critical thinking', 'customer service', 'product knowledge', 'marketing', 'communication', 'sales')",High School,2,Sales Associate
71,"('gcp', 'data visualization', 'analytics', 'looker', 'sql', 'mysql', 'dashboard development', 'lookml', 'decision making', 'go')",Bachelor's in IT,2,Looker Developer
72,"('real estate knowledge', 'cloudformation', 'adobe creative suite', 'swift', 'business development', 'communication', 'negotiation', 'sales leadership', 'team management')",Bachelor's in Business,4,Real Estate Broker
73,"('accuracy', 'cash handling', 'technical writing', 'point of sale', 'friendliness', 'app testing', 'customer service', 'communication')",High School,0,Cashier
74,"('process design', 'network security', 'quality control', 'go', 'cad', 'equipment knowledge', 'problem solving', 'jira', 'production planning')",Bachelor's in Manufacturing Engineering,1,Manufacturing Engineer
75,"('financial analysis', 'api integration', 'problem solving', 'strategic planning', 'adobe creative suite', 'marketing', 'javascript', 'tensorflow', 'e-commerce', 'liquid', 'shopify')",Bachelor's in Computer Science,0,Shopify Developer
76,"('scikit-learn', 'excel', 'sql', 'deep learning', 'data analysis', 'tableau', 'power bi', 'reporting')",Bachelor's in Business,1,BI Analyst
77,"('scikit-learn', 'branding', 'user experience', 'visual communication', 'attention to detail', 'creativity', 'adobe creative suite', 'design software', 'kotlin')",Design Certification,4,Graphic Designer
78,"('apache kafka', 'streaming', 'oracle', 'scalability', 'pandas', 'distributed systems', 'event processing', 'problem solving', 'teamwork', 'sql')",Bachelor's in Computer Science,2,Kafka Developer
79,"('r', 'system architecture', 'technical expertise', 'business acumen', 'pandas', 'user interface', 'cassandra', 'leadership', 'communication', 'solution design')",Architecture Certification,7,Solution Architect
80,"('mysql', 'ansible', 'communication', 'mobile security', 'problem solving', 'anatomy', 'customer service', 'php', 'empathy', 'massage therapy', 'cloudformation')",Massage Therapy School,2,Massage Therapist
81,"('leadership support', 'communication', 'executive support', 'responsive design', 'tableau', 'cloudformation', 'problem solving', 'organization', 'discretion', 'gcp')",Administrative Certification,3,Executive Assistant
82,"('kotlin', 'jenkins', 'technical documentation', 'penetration testing', 'mechanical design', 'thermodynamics', 'prototyping', 'problem solving', 'communication', 'cad', 'physics')",Bachelor's in Mechanical Engineering,0,Mechanical Engineer
83,"('aws', 'cassandra', 'ci/cd', 'java', 'terraform', 'react native', 'linux', 'kubernetes', 'docker', 'scripting', 'app testing')",IT Certification,2,DevOps Engineer
84,"('tensorflow', 'marketing', 'typescript', 'sales strategy', 'crm', 'negotiation', 'perl', 'target setting', 'communication', 'team leadership')",Bachelor's in Business,6,Sales Manager
85,"('communication', 'property knowledge', 'negotiation', 'customer service', 'shell scripting', 'mentoring', 'sales', 'marketing', 'financial analysis')",Real Estate License,2,Real Estate Agent
86,"('technical knowledge', 'project management', 'communication', 'graphic design', 'r', 'documentation', 'coordination', 'problem solving', 'leadership')",Bachelor's in Engineering,4,Project Engineer
87,"('analytics', 'web design', 'adaptability', 'java', 'account management', 'communication', 'customer relations', 'product knowledge', 'react native', 'problem solving')",Bachelor's in Business,1,Customer Success Manager
88,"('tensorflow', 'communication', 'attention to detail', 'sql', 'radiation safety', 'imaging technology', 'technical skills', 'adobe creative suite', 'patient care')",Radiography License,2,Radiographer
89,"('communication', 'scrum', 'problem solving', 'react', 'leadership', 'strategic planning', 'safety', 'p&l management', 'shell scripting', 'discipline', 'perl')",Military Academy,5,Military Officer
90,"('ui/ux', 'swift', 'problem solving', 'xcode', 'mobile development', 'ios development', 'figma', 'data analysis', 'user interface')",Bachelor's in Computer Science,2,Swift Developer
91,"('campaign management', 'communication', 'analytics', 'budget management', 'leadership', 'shell scripting', 'ansible', 'brand strategy')",Bachelor's in Marketing,5,Marketing Manager
92,"('nosql', 'query optimization', 'analytics', 'content creation', 'p&l management', 'communication', 'creativity', 'photography/videography', 'social media')",Social Media Certification,2,Social Media Content Creator
93,"('lispyscript', 'functional programming', 'concurrency', 'php', 'clojure', 'vue.js', 'rust', 'mobile security', 'negotiation', 'java interop', 'problem solving')",Bachelor's in Computer Science,5,Clojure Developer
94,"('sql', 'business development', 'analytics', 'dashboard development', 'looker', 'php', 'shell scripting', 'lookml', 'risk assessment', 'data visualization')",Bachelor's in IT,2,Looker Developer
95,"('problem solving', 'mobile ui/ux', 'regulatory knowledge', 'negotiation', 'risk assessment', 'technical writing', 'safety management', 'adaptability', 'communication', 'leadership', 'microservices')",Bachelor's in Safety Engineering,2,Safety Engineer
96,"('seo', 'internal controls', 'leadership', 'risk assessment', 'audit procedures', 'aws', 'c#', 'compliance', 'communication', 'flask')",Bachelor's in Accounting,6,Audit Manager
97,"('rust', 'leadership', 'compliance', 'department management', 'decision making', 'strategic planning', 'budget control', 'communication')",Master's in Business,4,Director
98,"('sql', 'api testing', 'manual testing', 'test automation', 'react', 'serverless', 'mongodb', 'bug tracking', 'figma', 'selenium')",QA Certification,1,QA Engineer
99,"('sql', 'analytics', 'time management', 'data modeling', 'scikit-learn', 'rest api', 'cloud platforms', 'dbt', 'python')",Bachelor's in Engineering,4,Analytics Engineer
100,"('vulnerability testing', 'problem solving', 'security tools', 'reporting', 'risk assessment', 'security testing', 'redis', 'django')",Bachelor's in Cybersecurity,3,Security Tester
101,"('communication', 'query optimization', 'problem solving', 'empathy', 'massage therapy', 'serverless', 'customer service', 'django', 'anatomy', 'negotiation')",License,2,Massage Therapist
102,"('animal handling', 'compassion', 'veterinary care', 'jira', 'go', 'safety', 'communication', 'teamwork', 'encryption', 'c#', 'technical skills')",Associate in Veterinary Technology,1,Veterinary Technician
103,"('statistics', 'deep learning', 'pytorch', 'angular', 'problem solving', 'tensorflow', 'research', 'python')",Master's in Computer Science,5,Machine Learning Engineer
104,"('mysql', 'magento', 'react native', 'e-commerce', 'graphql', 'problem solving', 'javascript', 'php')",Bachelor's in Computer Science,2,Magento Developer
105,"('negotiation', 'legal research', 'analysis', 'problem solving', 'attention to detail', 'ruby', 'writing', 'communication')",Law School Graduate,0,Law Clerk
106,"('precision', 'research', 'node.js', 'microbiology', 'jira', 'html', 'r', 'data analysis', 'laboratory work', 'python', 'problem solving')",Master's in Microbiology,1,Microbiologist
107,"('customer service', 'leadership', 'communication', 'ruby', 'restaurant management', 'user experience', 'financial management', 'kotlin', 'creativity', 'staff management')",Management Experience,1,Restaurant Manager
108,"('data analysis', 'documentation', 'shell scripting', 'collaboration', 'python', 'jenkins', 'visualization', 'jupyter notebooks')",Data Science Certificate,4,Jupyter Developer
109,"('texturing', 'market research', '3d modeling', 'compliance', 'software skills', 'rendering', 'tableau', 'critical thinking', 'problem solving', 'creativity')",Certification,1,3D Artist
110,"('javascript', 'shell scripting', 'wordpress', 'business development', 'php', 'css', 'plugin development', 'theme development')",WordPress Certification,0,WordPress Developer
111,"('aws', 'networking', 'oracle', 'c#', 'system design', 'security', 'seo', 'gcp', 'azure', 'javascript', 'jira')",Cloud Certification,7,Cloud Architect
112,"('javascript', 'typescript', 'postgresql', 'user interface', 'problem solving', 'type safety', 'node.js', 'object-oriented design', 'firewalls', 'graphic design', 'teamwork')",Bachelor's in Computer Science,3,TypeScript Developer
113,"('javascript', 'ui/ux design', 'css', 'html', 'scrum', 'kanban', 'vue.js', 'react')",Diploma in IT,2,Frontend Developer
114,"('analytics', 'a/b testing', 'email campaign management', 'redis', 'segmentation', 'android', 'automation platforms', 'copywriting', 'jupyter')",Bachelor's in Marketing,0,Email Marketing Specialist
115,"('oracle', 'leadership', 'public administration', 'policy knowledge', 'shell scripting', 'budget management', 'postgresql', 'numpy', 'communication', 'swift', 'strategic planning')",Master's in Public Administration,3,Public Administrator
116,"('php', 'plugin development', 'theme development', 'graphic design', 'javascript', 'wordpress', 'adobe creative suite', 'css')",WordPress Certification,0,WordPress Developer
117,"('user interface', 'software skills', 'administrative skills', 'time management', 'database design', 'typing', 'communication', 'organization')",High School,0,Administrative Assistant
118,"('empathy', 'critical thinking', 'mobile ui/ux', 'business development', 'patient communication', 'user interface', 'psychological assessment', 'research', 'p&l management', 'mysql', 'counseling')",Master's or PhD in Psychology,5,Psychologist
119,"('nail care', 'precision', 'customer service', 'creativity', 'artistry', 'security protocols', 'communication', 'sanitation')",Beauty School,2,Nail Technician
120,"('quality control', 'equipment maintenance', 'documentation', 'staff management', 'teamwork', 'business acumen', 'problem solving', 'production planning', 'firewalls', 'safety')",Bachelor's in Operations,3,Production Manager
121,"('legal knowledge', 'negotiation', 'ethics', 'problem solving', 'docker', 'research', 'budget management', 'writing', 'communication')",Bar License,0,Lawyer
122,"('python', 'precision', 'graphql', 'technical knowledge', 'cnc machines', 'problem solving', 'attention to detail', 'safety')",Trade School,3,CNC Machinist
123,"('cryptocurrency', 'blockchain technology', 'sql', 'smart contracts', 'cloudformation', 'python', 'problem solving', 'mentoring', 'solidity', 'vue.js')",Bachelor's in Computer Science,2,Blockchain Developer
124,"('adobe creative suite', 'scrum', 'coaching', 'team leadership', 'agile', 'machine learning', 'kanban', 'problem solving', 'react native', 'angular', 'communication')",Scrum Master Certification,4,Scrum Master
125,"('mongodb', 'market strategy', 'team leadership', 'p&l management', 'brand vision', 'kubernetes', 'strategic leadership', 'executive communication', 'confluence')",MBA,9,Chief Marketing Officer
126,"('cassandra', 'react', 'maintenance', 'safety', 'cost management', 'negotiation', 'strategic planning', 'problem solving', 'leadership', 'ruby', 'fleet management')",Management Experience,6,Fleet Manager
127,"('distributed computing', 'sql', 'big data', 'react native', 'python', 'serverless', 'apache spark', 'gcp', 'go', 'scala', 'seo')",Bachelor's in Computer Science,2,Spark Developer
128,"('business development', 'software skills', 'problem solving', 'css', 'creativity', 'rendering', '3d modeling', 'texturing')",Bachelor's in 3D Art,1,3D Artist
129,"('data analysis', 'product strategy', 'communication', 'tableau', 'leadership', 'market analysis', 'flask', 'user research')",Bachelor's in Business,5,Product Manager
130,"('navigation', 'strategic planning', 'safety', 'leadership', 'scrum', 'problem solving', 'technical skills', 'maritime knowledge')",Maritime Training,2,Deck Officer
131,"('kitchen management', 'time management', 'negotiation', 'creativity', 'recipe development', 'cooking', 'strategic planning', 'critical thinking', 'food safety')",Culinary School,1,Chef
132,"('client service', 'technical writing', 'lighting', 'creativity', 'editing software', 'composition', 'encryption', 'photography')",Portfolio,3,Photographer
133,"('maven', 'jenkins', 'java', 'security architecture', 'sql', 'spring boot', 'microservices', 'communication', 'html', 'rest api', 'figma')",Bachelor's in Computer Science,4,Java Backend Developer
134,"('creativity', 'environmental knowledge', 'design', 'seo', 'horticulture', 'negotiation', 'technical skills', 'cassandra', 'cad')",Bachelor's in Landscape Architecture,4,Landscape Architect
135,"('excel', 'gcp', 'creativity', 'supply planning', 'pandas', 'python', 'data analysis', 'erp systems', 'adaptability', 'statistical analysis', 'demand forecasting')",Bachelor's in Analytics,2,Demand Planner
136,"('linux', 'shell scripting', 'problem solving', 'strategic planning', 'system administration', 'html', 'financial analysis', 'compliance', 'automation', 'bash', 'jira')",Bachelor's in Computer Science,1,Shell Script Developer
137,"('security', 'gcp', 'jenkins', 'problem solving', 'node.js', 'serverless', 'surveillance', 'communication', 'leadership', 'investigation', 'user experience')",Security Training,5,Loss Prevention Manager
138,"('network security', 'technical knowledge', 'geology', 'user experience', 'problem solving', 'field work', 'confluence', 'c++', 'web accessibility', 'research', 'analysis')",Bachelor's in Geology,4,Geologist
139,"('business acumen', 'data analysis', 'flask', 'report writing', 'javascript', 'responsive design', 'vue.js', 'research methodology', 'user research', 'problem solving', 'communication')",Bachelor's in Science,4,Product Researcher
140,"('confluence', 'precision', 'problem solving', 'safety', 'attention to detail', 'equipment operation', 'communication', 'negotiation', 'css', 'mobile ui/ux')",High School,2,Heavy Equipment Operator
141,"('sql', 'clinical skills', 'patient monitoring', 'medical records', 'cloudformation', 'mongodb', 'critical thinking', 'nursing care', 'communication', 'cassandra', 'c#')",Bachelor's in Nursing,1,Registered Nurse
142,"('case management', 'problem solving', 'security protocols', 'penetration testing', 'empathy', 'communication', 'crisis intervention', 'counseling', 'financial analysis')",Master's in Social Work,1,Social Worker
143,"('cad', 'problem solving', 'vehicle systems', 'materials', 'thermal systems', 'jira', 'react', 'html', 'testing')",Bachelor's in Mechanical Engineering,5,Automotive Engineer
144,"('travel knowledge', 'organization', 'sales', 'communication', 'android', 'computer skills', 'java', 'customer service')",High School,1,Travel Agent
145,"('motivation', 'training program design', 'react', 'figma', 'communication', 'athletic knowledge', 'leadership', 'coaching')",Bachelor's in Physical Education,0,Coach
146,"('android', 'flutter', 'spring boot', 'maven', 'microservices', 'sql', 'rest api', 'java', 'go', 'rust')",Bachelor's in Computer Science,2,Java Backend Developer
147,"('budget control', 'department management', 'decision making', 'penetration testing', 'leadership', 'business development', 'communication', 'strategic planning')",Master's in Business,8,Director
148,"('autocad', 'kotlin', 'r', 'cad', 'problem solving', 'project management', 'risk assessment', 'vue.js', 'structural analysis', 'technical design', 'building codes')",Bachelor's in Civil Engineering,2,Civil Engineer
149,"('network security', 'c++', 'improvisation', 'interviewing', 'public speaking', 'communication', 'problem solving', 'personality', 'aws')",Broadcasting School,2,Radio Host
150,"('networking', 'graphic design', 'business development strategy', 'jupyter', 'communication', 'market analysis', 'negotiation', 'sales')",Bachelor's in Business,6,Business Development Manager
151,"('creativity', 'vue.js', 'c++', 'architectural design', 'deep learning', 'building codes', 'cad', 'technical knowledge', 'scikit-learn', 'power bi', 'client communication')",Master's in Architecture,4,Architect
152,"('staff management', 'kanban', 'user experience', 'inventory', 'store management', 'customer relations', 'communication', 'adaptability', 'sales', 'problem solving')",High School,2,Store Manager
153,"('user research', 'leadership', 'graphql', 'product strategy', 'market analysis', 'perl', 'security architecture', 'confluence', 'communication', 'css', 'data analysis')",Bachelor's in Business,2,Product Manager
154,"('ios', 'communication', 'react', 'compassion', 'jira', 'physical therapy', 'exercise prescription', 'flutter', 'patient assessment', 'anatomy knowledge', 'financial analysis')",PT License,3,Physical Therapist
155,"('html', 'ui/ux design', 'user interface', 'vue.js', 'css', 'agile', 'javascript', 'react')",Bachelor's in Computer Science,3,Frontend Developer
156,"('creativity', 'user interface', 'technical knowledge', 'building codes', 'redis', 'cad', 'client communication', 'shell scripting', 'architectural design')",Architecture License,5,Architect
157,"('agricultural systems', 'problem solving', 'equipment design', 'analysis', 'r', 'ruby', 'rest api', 'technical knowledge', 'sustainability')",Bachelor's in Agricultural Engineering,5,Agricultural Engineer
158,"('risk assessment', 'architecture', 'nosql', 'angular', 'leadership', 'mentoring', 'problem solving', 'penetration testing', 'communication', 'statistics', 'code review')",Bachelor's in Computer Science,5,Technical Lead
159,"('risk assessment', 'problem solving', 'adobe creative suite', 'ui/ux', 'mobile development', 'xcode', 'swift', 'react native', 'data analysis', 'ios development')",Bachelor's in Computer Science,0,Swift Developer
160,"('patient care', 'precision', 'technical skills', 'creativity', 'surgical expertise', 'problem solving', 'communication', 'research')",License,7,Surgeon
161,"('e-learning', 'adult learning', 'course development', 'assessment', 'technology', 'machine learning', 'teamwork', 'app testing', 'creativity')",Bachelor's in Education,2,Instructional Designer
162,"('nosql', 'vue.js', 'low-level programming', 'microcontrollers', 'css', 'typescript', 'c/c++', 'r', 'hardware', 'real-time systems', 'embedded linux')",Bachelor's in Computer Engineering,5,Embedded Systems Engineer
163,"('demand forecasting', 'erp systems', 'statistical analysis', 'supply planning', 'excel', 'oracle', 'cassandra', 'data analysis')",Bachelor's in Analytics,3,Demand Planner
164,"('communication', 'risk management', 'javascript', 'compliance', 'negotiation', 'app testing', 'privacy law', 'gdpr', 'strategic planning')",Privacy Certification,4,Privacy Officer
165,"('phoenix framework', 'pytorch', 'teamwork', 'functional programming', 'erlang', 'problem solving', 'distributed systems', 'elixir')",Bachelor's in Computer Science,4,Elixir Developer
166,"('physical stamina', 'technical knowledge', 'safety', 'node.js', 'welding', 'problem solving', 'precision', 'query optimization')",Trade School,1,Welder
167,"('c++', 'system programming', 'performance', 'debugging', 'jupyter', 'css', 'kotlin', 'problem solving', 'shell scripting', 'responsive design', 'memory management')",Bachelor's in Computer Science,2,C++ Developer
168,"('erlang', 'scikit-learn', 'distributed systems', 'phoenix framework', 'kubernetes', 'nosql', 'kotlin', 'figma', 'functional programming', 'problem solving', 'elixir')",Bachelor's in Computer Science,2,Elixir Developer
